SJAG_01835	B6JZ13
SJAG_02253	B6K1Z1
SJAG_01691	B6JYM6
SJAG_03826	B6K558
SJAG_02925	B6K1J6
SJAG_00196	B6JXQ4
SJAG_04261	B6K6D2
SJAG_01052	B6JXC5
SJAG_00677	B6JWA4
SJAG_00243	B6JV41
SJAG_03843	B6K574
SJAG_04325	B6K6J2
SJAG_00223	B6JV23
SJAG_02769	B6K147
SJAG_01914	B6JZ88
SJAG_05285	B6K320
SJAG_00672	B6JW99
SJAG_00325	B6JVB8
SJAG_04841	B6K7W7
SJAG_03239	B6K3P9
SJAG_01338	B6K0E4
SJAG_01982	B6JZE5
SJAG_00868	B6JWU3
SJAG_04352	B6K6L7
SJAG_04534	B6K730
SJAG_00575	B6JW08
SJAG_04917	B6K841
SJAG_01374	B6JXR3
SJAG_01868	B6JZ44
SJAG_02833	B6K1A8
SJAG_00351	B6JVE3
SJAG_03331	B6K3Y4
SJAG_04678	B6K7G7
SJAG_01061	B6JXD3
SJAG_00210	B6JV10
SJAG_02156	B6K1P5
SJAG_01343	B6K0E9
SJAG_02472	B6K2K3
SJAG_00284	B6JV78
SJAG_01945	B6JZB6
SJAG_04293	B6K6G2
SJAG_00830	B6JWQ1
SJAG_02602	B6K0P4
SJAG_01004	B6JX78
SJAG_03061	B6K378
SJAG_02098	B6JZQ3
SJAG_02660	B6K0U5
SJAG_00987	B6JX59
SJAG_03376	B6K427
SJAG_03224	B6K3N4
SJAG_05006	B6K8C8
SJAG_01948	B6JZB9
SJAG_02846	B6K1C1
SJAG_03228	B6K3N8
SJAG_05278	B6K170
SJAG_02830	B6K1A5
SJAG_01186	B6JZZ7
SJAG_02364	B6K296
SJAG_04813	B6K7U1
SJAG_02242	B6K1Y0
SJAG_01139	B6JZU9
SJAG_00787	B6JWL0
SJAG_03981	B6K5K6
SJAG_03316	B6K3X1
SJAG_00216	B6JV16
SJAG_04110	B6K5Y4
SJAG_00705	B6JWD1
SJAG_03584	B6K4M2
SJAG_03540	B6K4H9
SJAG_01064	B6JXD6
SJAG_02081	B6JZN9
SJAG_01317	B6K0C3
SJAG_02247	B6K1Y5
SJAG_00806	B6JWM8
SJAG_02262	B6K1Z8
SJAG_03468	B6K4B4
SJAG_01214	B6K025
SJAG_00882	B6JWV7
SJAG_04970	B6K890
SJAG_02561	B6K0K5
SJAG_04535	B6K731
SJAG_00646	B6JW76
SJAG_01701	B6JYN4
SJAG_00643	B6JW73
SJAG_00997	B6JX69
SJAG_03495	B6K4D9
SJAG_04321	B6K6I8
SJAG_02918	B6K1I8
SJAG_06604	T0S128
SJAG_02461	B6K2J0
SJAG_00237	B6JV36
SJAG_02087	B6JZP5
SJAG_00387	B6JVH7
SJAG_00697	B6JWC3
SJAG_04695	B6K7I3
SJAG_00839	B6JWR1
SJAG_01006	B6JX81
SJAG_01658	B6JYJ7
SJAG_05008	B6K8D0
SJAG_01947	B6JZB8
SJAG_00832	B6JWQ3
SJAG_04240	B6K6B2
SJAG_02404	B6K2D6
SJAG_04514	B6K711
SJAG_01588	B6JYC8
SJAG_01904	B6JZ78
SJAG_04402	B6K6R4
SJAG_01817	B6JYZ4
SJAG_04598	B6K791
SJAG_03347	B6K3Z9
SJAG_01783	B6JYW2
SJAG_04939	B6K863
SJAG_02025	B6JZI5
SJAG_02501	B6K2N4
SJAG_05315	B6K5H2
SJAG_03427	B6K474
SJAG_01650	B6JYI9
SJAG_00818	B6JWP0
SJAG_02455	B6K2I4
SJAG_02627	B6K0R8
SJAG_00046	B6JUS1
SJAG_00791	B6JWL4
SJAG_01611	B6JYF0
SJAG_04454	B6K6V4
SJAG_02946	B6K2X2
SJAG_02757	B6K135
SJAG_06622	T0S0Y2
SJAG_01501	B6JY42
SJAG_03953	B6K5H9
SJAG_02511	B6K2P5
SJAG_03291	B6K3V0
SJAG_01972	B6JZD8
SJAG_00998	B6JX70
SJAG_00088	B6JUY9
SJAG_02752	B6K130
SJAG_04426	B6K6T7
SJAG_02514	B6K2P8
SJAG_02840	B6K1B5
SJAG_01477	B6JY19
SJAG_01973	B6JZD9
SJAG_01547	B6JY88
SJAG_04691	B6K7H9
SJAG_04365	B6K6M8
SJAG_02268	B6K204
SJAG_02802	B6K179
SJAG_00177	B6JXN7
SJAG_00904	B6JWX9
SJAG_00469	B6JVQ4
SJAG_00176	B6JXN6
SJAG_02068	B6JZM5
SJAG_00420	B6JVK6
SJAG_01728	B6JYR2
SJAG_04376	B6K6N9
SJAG_03032	B6K350
SJAG_03931	B6K5F6
SJAG_00454	B6JVN9
SJAG_03101	B6K3B7
SJAG_04844	B6K7X0
